id,name,parent_asset_type_id,visible,description,created_at,updated_at
20001214989,K8s Namespace,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215000,AWS K8s Namespace,20001214989.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214990,K8s Node,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215001,AWS K8s Node,20001214990.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214991,K8s Pod,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215002,AWS K8s Pod,20001214991.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214992,K8s Replica Set,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215003,AWS K8s Replica Set,20001214992.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214993,K8s Service,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215004,AWS K8s Service,20001214993.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214994,K8s Config Map,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215005,AWS K8s Config Map,20001214994.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214995,K8s Job,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215006,AWS K8s Job,20001214995.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214996,K8s Cron Job,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215007,AWS K8s Cron Job,20001214996.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214997,K8s Daemon Set,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215008,AWS K8s Daemon Set,20001214997.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214998,K8s Stateful Set,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001215009,AWS K8s Stateful Set,20001214998.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20000254041,Hardware,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254046,Computer,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254065,Desktop,20000254046.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254066,Laptop,20000254046.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254067,Server,20000254046.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254089,Unix Server,20000254067.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254090,Aix Server,20000254067.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254091,Solaris Server,20000254067.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254092,VMware Server,20000254067.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254093,Windows Server,20000254067.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254047,Storage,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254068,Disk,20000254047.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254048,DataCenter,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254069,Rack,20000254048.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254070,UPS,20000254048.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254049,Mobile Devices,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254071,Mobile,20000254049.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254072,Tablet,20000254049.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254050,Monitor,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254051,Printer,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254052,Projector,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254053,Scanner,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254054,Router,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254055,Switch,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254056,Access Point,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254057,Firewall,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254058,Other Devices,20000254041.0,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254081,SNMP,20000254058.0,True,,2022-02-17T20:44:59Z,2022-02-17T20:44:59Z
20000254042,Consumable,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254043,Network,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254044,Document,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
20000254045,Others,,True,,2022-02-17T20:44:58Z,2022-02-17T20:44:58Z
